"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-08-14T23:30:18.155398375Z[Etc/UTC]","0.0","7.44"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-08-14T23:30:59.1571422Z[Etc/UTC]","0.0","1.37"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-08-14T23:31:00.632698308Z[Etc/UTC]","0.0","1.2"
