"Story","Title","Result","Date","Stability","Duration (s)"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-08-14T23:31:18.273163238Z[Etc/UTC]","0.0","1.16"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-08-14T23:31:19.531513319Z[Etc/UTC]","0.0","1.08"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-08-14T23:31:20.711591176Z[Etc/UTC]","0.0","1.05"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-08-14T23:31:21.86623489Z[Etc/UTC]","0.0","1.09"
