"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should see how to begin","SUCCESS","2022-08-14T23:30:26.036294009Z[Etc/UTC]","0.0","0.85"
"Add new todos","Should be able to add the first todo item","SUCCESS","2022-08-14T23:30:41.067433723Z[Etc/UTC]","0.0","0.79"
