"Story","Title","Result","Date","Stability","Duration (s)"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-08-14T23:30:28.200186645Z[Etc/UTC]","0.0","2.48"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-08-14T23:31:05.810921556Z[Etc/UTC]","0.0","13.81"
