"Story","Title","Result","Date","Stability","Duration (s)"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-08-14T23:30:31.061108156Z[Etc/UTC]","0.0","1.15"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-08-14T23:30:32.318429166Z[Etc/UTC]","0.0","1.12"
"Deleting todos","Delete an active item","SUCCESS","2022-08-14T23:31:29.402704933Z[Etc/UTC]","0.0","1.15"
"Deleting todos","Delete all the items","SUCCESS","2022-08-14T23:31:30.658406326Z[Etc/UTC]","0.0","3.15"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-08-14T23:31:06.046939527Z[Etc/UTC]","0.0","1.07"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-08-14T23:31:07.221811795Z[Etc/UTC]","0.0","1.07"
